num_blocks,initial_filters,filter_sizes,nhl_activation,ol_activation,cost_function,data_split,learning_rate,weight_decay,betas,epochs,average_test_accuracy,std_test_accuracy,average_f1_score,std_f1_score
1,64,[64],sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,45.495170823122386,1.1687190461991823,0.4140132667370954,0.0005505507960046881
2,64,"[64, 128]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,72.6958525345622,2.1889400921658955,0.7270213213807758,0.025803386571006497
2,64,"[64, 128]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,67.07024118381858,0.9099091458564516,0.6596834140966048,0.015949241456317965
2,64,"[64, 128]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,53.84171832204123,0.576077301504631,0.506642623811498,0.006669279076109254
2,64,"[64, 128]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,69.81566820276498,3.013063785857614,0.6902523598587743,0.029405658328948057
2,64,"[64, 128]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,61.87181704621889,0.9518649708943151,0.6121166860627023,0.01670800701679932
2,64,"[64, 128]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,48.282158473884,0.8856220720957769,0.45431174899041366,0.006124207879315365
3,64,"[64, 128, 256]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,74.80798771121351,0.6345127358624525,0.7439876791800091,0.006716981896546769
3,64,"[64, 128, 256]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,68.4635341597002,0.43240126837704906,0.6799954585485849,0.006825305787213199
3,64,"[64, 128, 256]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,53.51496804574504,0.978588816222973,0.5150325034172691,0.016052687213958042
3,64,"[64, 128, 256]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,69.93087557603687,1.099008296563303,0.6932287121773559,0.00851986556978476
3,64,"[64, 128, 256]",sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,63.52455078312674,0.7373865683847287,0.628235184770428,0.005182209900448654
3,64,"[64, 128, 256]",sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,21.834606698380664,21.87665727877117,0.15509822200927487,0.24176132200583378
