problem_file,selection_method,crossover_method,mutation_method,elitism,diversity_injection,final_best_fitness_error,convergence_rate,time_taken
st70,rank,pmx,scramble,0,1,135.60493827160494,0.4213333333333333,17.885440349578857
st70,rank,pmx,scramble,0,0,135.9506172839506,0.4621111111111111,19.577113310496014
st70,rank,order,swap,1,1,51.95061728395061,0.5125555555555555,23.298635959625244
st70,rank,order,swap,1,0,50.51851851851851,0.6646666666666666,30.102854649225872
st70,rank,order,swap,0,1,47.4074074074074,0.4422222222222222,20.613086303075157
st70,rank,order,swap,0,0,46.51851851851851,0.5461111111111111,25.297063906987507
st70,rank,order,inversion,1,1,6.962962962962963,0.503,22.793344020843502
st70,rank,order,inversion,1,0,7.901234567901235,0.4435555555555555,20.062421480814617
st70,rank,order,inversion,0,1,9.234567901234568,0.391,18.11917010943095
st70,rank,order,inversion,0,0,6.222222222222222,0.4574444444444444,21.198719024658203
st70,rank,order,scramble,1,1,103.90123456790124,0.4591111111111111,21.05813392003377
st70,rank,order,scramble,1,0,75.55555555555556,0.428,19.57638955116272
st70,rank,order,scramble,0,1,79.95061728395062,0.5037777777777778,23.78407820065816
st70,rank,order,scramble,0,0,86.51851851851852,0.3454444444444444,16.273427327473957
eil101,tournament,pmx,swap,1,1,66.77265500794913,0.7799999999999999,45.38102984428406
eil101,tournament,pmx,swap,1,0,64.22893481717011,0.8642222222222222,50.201860427856445
eil101,tournament,pmx,swap,0,1,74.35082140964494,0.608,36.33223509788513
eil101,tournament,pmx,swap,0,0,78.37837837837839,0.6014444444444444,35.68781725565592
eil101,tournament,pmx,inversion,1,1,15.73926868044515,0.7051111111111111,40.87157360712687
eil101,tournament,pmx,inversion,1,0,10.969793322734498,0.782,45.14451217651367
eil101,tournament,pmx,inversion,0,1,23.476417594064653,0.5063333333333333,30.201687177022297
eil101,tournament,pmx,inversion,0,0,14.626391096979331,0.5673333333333334,33.73941286404928
eil101,tournament,pmx,scramble,1,1,162.53312135665078,0.6322222222222221,37.10769001642863
eil101,tournament,pmx,scramble,1,0,177.00052994170642,0.4801111111111111,28.130017518997192
eil101,tournament,pmx,scramble,0,1,168.30948595654476,0.5813333333333334,35.11009764671326
eil101,tournament,pmx,scramble,0,0,165.6597774244833,0.4675555555555555,28.150827487309773
eil101,tournament,order,swap,1,1,48.3836777954425,0.6346666666666666,42.89007576306661
eil101,tournament,order,swap,1,0,47.95972443031267,0.5876666666666667,39.70017234484354
eil101,tournament,order,swap,0,1,44.40911499735029,0.4652222222222222,32.34185155232748
eil101,tournament,order,swap,0,0,50.45045045045044,0.6023333333333333,41.66673684120178
eil101,tournament,order,inversion,1,1,10.704822469528352,0.7358888888888889,49.77868294715881
eil101,tournament,order,inversion,1,0,14.043455219925807,0.5743333333333333,38.85996143023173
eil101,tournament,order,inversion,0,1,17.01112877583466,0.6672222222222223,46.25622224807739
eil101,tournament,order,inversion,0,0,13.72549019607843,0.7601111111111112,52.46652563412984
eil101,tournament,order,scramble,1,1,89.87811340752518,0.5314444444444444,36.28288213411967
